Complex ID,Is Active,Category,Name
5c7f62f67e409ee0933b0b9e,False,Apartment,1 Park Avenue
5c7f62f77e409ee0933b0bab,False,Apartment,Ambasador Apartment 1
5c7f62f87e409ee0933b0baf,False,Apartment,Ambassador Apartment 2
5c7f62f87e409ee0933b0bb1,False,Apartment,Anandamaya Residences
5c7f62f87e409ee0933b0bb5,False,Apartment,Apartemen Setiabudi
5c7f62f87e409ee0933b0bb7,False,Apartment,Apartemen Taman Rasuna
5c7f62f77e409ee0933b0ba7,False,Apartment,Airlangga Apartment
5c7f62f67e409ee0933b0ba3,False,Apartment,1 Park Residence
5c7f62f77e409ee0933b0bad,False,Apartment,Ambassade Residences
5c7f62fa7e409ee0933b0bc5,False,Apartment,Ascott Thamrin
5c7f62fa7e409ee0933b0bc7,False,Apartment,Aston Rasuna
5c7f62fb7e409ee0933b0bca,False,Apartment,Batavia Apartments
5c7f62fb7e409ee0933b0bcd,False,Apartment,Botanica Apartments
5c7f62fb7e409ee0933b0bd1,False,Apartment,Casa Domaine
5c7f62fc7e409ee0933b0bd4,False,Apartment,Casa Grande Residence
5c7f62fe7e409ee0933b0be6,False,Apartment,CityLofts Sudirman
5c7f62fe7e409ee0933b0be8,False,Apartment,Da Vinci
5c7f62fe7e409ee0933b0bea,False,Apartment,Denpasar Residence
5c7f62ff7e409ee0933b0bed,False,Apartment,District 8
5c7f62ff7e409ee0933b0bf0,False,Apartment,Four Seasons Residence
5c7f62ff7e409ee0933b0bf3,False,Apartment,Four Winds
5c7f62ff7e409ee0933b0bf5,False,Apartment,FX Residence
5c7f63007e409ee0933b0bf7,False,Apartment,Gandaria Heights
5c7f63007e409ee0933b0bfa,False,Apartment,Grand Permata ITC
5c7f63007e409ee0933b0bfd,False,Apartment,Istana Sahid Apartment
5c7f63017e409ee0933b0c00,False,Apartment,Izzara
5c7f63017e409ee0933b0c03,False,Apartment,Kempinski Private Residence
5c7f63017e409ee0933b0c05,False,Apartment,Keraton Residences at The Plaza
5c7f63017e409ee0933b0c07,False,Apartment,Kusuma Chandra
5c7f63027e409ee0933b0c0b,False,Apartment,La Maison Barito
5c7f63027e409ee0933b0c0d,False,Apartment,La Vie All Suites Apartment
5c7f63027e409ee0933b0c10,False,Apartment,Oakwood
5c7f63037e409ee0933b0c12,False,Apartment,Pacific Place Residence
5c7f62fd7e409ee0933b0bdf,False,Apartment,Ciputra World 1 Jakarta
5c7f62fd7e409ee0933b0bdc,False,Apartment,Casablanca Apartment
5c7f62fd7e409ee0933b0be2,False,Apartment,Ciputra World 2 Jakarta
5c7f63037e409ee0933b0c15,False,Apartment,The Pakubuwono Residence
5c7f63047e409ee0933b0c1d,False,Apartment,Pakubuwono Spring
5c7f63047e409ee0933b0c20,False,Apartment,The Pakubuwono View
5c7f63057e409ee0933b0c23,False,Apartment,Park Royale Apartment
5c7f63057e409ee0933b0c28,False,Apartment,Apartemen Pavilion
5c7f63067e409ee0933b0c2d,False,Apartment,Pearl Garden
5c7f63047e409ee0933b0c1b,False,Apartment,Pakubuwono Signature
5c7f63077e409ee0933b0c35,False,Apartment,Permata Hijau Residences
5c7f63077e409ee0933b0c38,False,Apartment,Permata Hijau Suites
5c7f63067e409ee0933b0c2f,False,Apartment,Somerset Permata Berlian
5c7f63067e409ee0933b0c31,False,Apartment,Permata Gandaria
5c7f63077e409ee0933b0c3b,False,Apartment,Permata Safir Apartment
5c7f63067e409ee0933b0c33,False,Apartment,Apartemen Permata Hijau
5c7f63077e409ee0933b0c3d,False,Apartment,Pondok Indah Residences
